Feature,Importance
MonthlyCharges,0.16989012505654674
TotalCharges,0.1590835720555108
tenure,0.15546797020225575
Contract_Month-to-month,0.11653506747988371
PaymentMethod_Electronic check,0.05627689005599016
InternetService,0.03323922539371301
PaperlessBilling,0.02747642909203468
OnlineSecurity,0.02570323092204496
Contract_Two year,0.02506050370849979
MultipleLines,0.02059017338358521
TechSupport,0.019926838328331527
OnlineBackup,0.019669589857166173
SeniorCitizen,0.019550818411369842
Contract_One year,0.019285527582379294
gender,0.017316367433826377
Partner,0.01654840044766377
DeviceProtection,0.015559913615101
Dependents,0.015293743928113012
StreamingMovies,0.015062993809060614
StreamingTV,0.01454556623340665
PaymentMethod_Mailed check,0.010921438242365173
PaymentMethod_Bank transfer (automatic),0.010577613640661801
PaymentMethod_Credit card (automatic),0.00903997274706869
PhoneService,0.007378028373421365
